Team                |  Colley Score
Washington          |  1.045058292382556
Michigan            |  1.012264097522471
Georgia             |  0.939794699867557
Texas               |  0.9331603019573771
Alabama             |  0.9180375239516555
Florida St          |  0.913878224704585
Oregon              |  0.8917268194018413
Ohio St             |  0.880134878872639
Missouri            |  0.8665713844692485
Mississippi         |  0.8570971354727323
LSU                 |  0.8153878658969397
Penn St             |  0.8128455821836966
Liberty             |  0.811742215149825
Oklahoma            |  0.8065674735798422
James Madison       |  0.7761852023186827
Arizona             |  0.7702966431124386
Notre Dame          |  0.7679044169923963
Iowa                |  0.7606921398090363
Kansas St           |  0.7475198522445095
Troy                |  0.7410127807851035
Oklahoma St         |  0.733818071686251
Louisville          |  0.7316430698399305
Tennessee           |  0.7215945671000911
Clemson             |  0.713989783055897
Kansas              |  0.7051774587530834
Tulane              |  0.7015092594967944
NC State            |  0.7005089637892588
Memphis             |  0.7004730173536645
USC                 |  0.6984464669211191
Toledo              |  0.6801418157967506
Utah                |  0.679488363229729
SMU                 |  0.6726770998004782
Wyoming             |  0.6717514684666339
Oregon St           |  0.6710355907431799
West Virginia       |  0.6679356991522595
Duke                |  0.6503779791508552
Miami OH            |  0.6503136867490337
Northwestern        |  0.6334410886222983
Maryland            |  0.6284485092227236
Air Force           |  0.6216889430686214
North Carolina      |  0.6200164642287925
UCLA                |  0.6172627301540329
Appalachian St      |  0.6136005425216208
Iowa St             |  0.6129730050734419
Rutgers             |  0.6111203087781156
Coastal Car         |  0.6082821485346316
UT San Antonio      |  0.6057278356870152
Texas Tech          |  0.5990040783521018
UNLV                |  0.5981467697104875
Ohio                |  0.5944238100564653
Miami FL            |  0.5917594217228248
Boise St            |  0.5867757015274906
Georgia Tech        |  0.5848581225338675
Fresno St           |  0.5817019167927233
Jacksonville St     |  0.5801850033630707
Kentucky            |  0.5791978507870964
Virginia Tech       |  0.5782295303807256
Wisconsin           |  0.5773926459365616
Texas A&M           |  0.5745035408689311
New Mexico St       |  0.5722767604665783
WKU                 |  0.566338770376041
San Jose St         |  0.5420206725903293
Minnesota           |  0.5400584815772355
Boston College      |  0.5360742151496911
California          |  0.5304288708427833
Auburn              |  0.529756623479649
Georgia St          |  0.5249262811985563
Texas St            |  0.5239326077153882
Florida             |  0.5039320136777368
South Alabama       |  0.5024848043612034
Bowling Green       |  0.5017801812506214
South Carolina      |  0.5002823534410514
Illinois            |  0.4932050995283014
Washington St       |  0.49015737737755666
TCU                 |  0.48170918894635206
UCF                 |  0.47941489014124844
Old Dominion        |  0.47783371052617357
Marshall            |  0.47408031168897197
Nebraska            |  0.47356674467243165
Mississippi St      |  0.47305328951794984
BYU                 |  0.47154927802759805
Michigan St         |  0.4715359361640603
South Florida       |  0.4696804622198908
Army                |  0.4671108075782481
Syracuse            |  0.46488991372108246
Purdue              |  0.45285754209025714
Arkansas St         |  0.4423736088238039
Ga Southern         |  0.4390060173231956
Utah St             |  0.4281584462409958
Colorado            |  0.4231985205344127
Rice                |  0.4174255997610531
N Illinois          |  0.410053932597813
Wake Forest         |  0.39867901839632747
Arizona St          |  0.3974961041365986
Louisiana           |  0.39631962176744734
Houston             |  0.3946850394309003
Stanford            |  0.3893784047133765
Arkansas            |  0.3850843979770171
Navy                |  0.3708588005834518
Virginia            |  0.3700938093338345
Colorado St         |  0.3642148540731215
Hawaii              |  0.3610681302700666
North Texas         |  0.358252415316053
C Michigan          |  0.34717028723044924
Indiana             |  0.34442905182809186
Pittsburgh          |  0.3402746081958604
MTSU                |  0.3364082653225441
W Michigan          |  0.33006069145462064
UAB                 |  0.3293372046560905
San Diego St        |  0.3292429533822909
E Michigan          |  0.32767078319361403
Baylor              |  0.3252885006620505
New Mexico          |  0.31990647364918484
Tulsa               |  0.31927927859150446
Cincinnati          |  0.30814757963179784
Ball St             |  0.3072984549649373
FL Atlantic         |  0.2958203329040545
Southern Miss       |  0.2954021909816913
Vanderbilt          |  0.2853996190209478
Massachusetts       |  0.28212333183403443
Connecticut         |  0.27397100336985647
Florida Intl        |  0.2669217131786403
UTEP                |  0.25994564791929065
Temple              |  0.22991701718920632
Buffalo             |  0.22683309267232554
Louisiana Tech      |  0.22678643180887326
Charlotte           |  0.226695181527791
Sam Houston St      |  0.2264389538105874
ULM                 |  0.2101581039023802
East Carolina       |  0.2025719102484864
Nevada              |  0.19079409588636093
FCS9                |  0.18471380725488756
FCS7                |  0.14571473221739842
FCS6                |  0.1416736834662609
FCS4                |  0.13947411962122624
FCS2                |  0.12606840339360176
FCS1                |  0.10336138547693549
Akron               |  0.10030259950584286
FCS8                |  0.08936979643395715
FCS3                |  0.06763923582747372
FCS10               |  0.06161728523624027
FCS5                |  0.050256455948685226
Kent                |  0.04673196730968569
