Team                |  Colley Score
Boston              |  0.7728311796270314
Minnesota           |  0.739197112264598
Oklahoma City       |  0.709468715030517
Denver              |  0.677097135632858
Milwaukee           |  0.652980009416926
Philadelphia        |  0.6527392667163775
LA Clippers         |  0.6246841851121194
Sacramento          |  0.615028143295785
New Orleans         |  0.5989705273351913
New York            |  0.5707675461038637
Cleveland           |  0.5614611401131513
Miami               |  0.5595302494446092
Dallas              |  0.554189600586172
Orlando             |  0.5533976412514151
Indiana             |  0.5442737844287535
Houston             |  0.5389115458150026
Golden State        |  0.524715542542959
LA Lakers           |  0.519158958582462
Phoenix             |  0.49031584352117585
Utah                |  0.44221589997131205
Chicago             |  0.4381434672518979
Brooklyn            |  0.4286037137276012
Atlanta             |  0.4198205236809847
Toronto             |  0.4040506006757718
Memphis             |  0.34112273540999855
Charlotte           |  0.2753485556494937
Portland            |  0.2726257283295259
San Antonio         |  0.20720294066799372
Washington          |  0.19069566211790118
Detroit             |  0.12045204569655396
